-63 -60 -51 -37 -19 0 20 38 52 60 63 60 51 37 19 0 13221
-60 -51 -37 -19 0 20 38 52 60 63 60 51 37 19 0 -20 15519
-51 -37 -19 0 20 38 52 60 63 60 51 37 19 0 -20 -38 16348
-37 -19 0 20 38 52 60 63 60 51 37 19 0 -20 -38 -52 15607
-19 0 20 38 52 60 63 60 51 37 19 0 -20 -38 -52 -60 13131
0 20 38 52 60 63 60 51 37 19 0 -20 -38 -52 -60 -63 9433
20 38 52 60 63 60 51 37 19 0 -20 -38 -52 -60 -63 -60 4798
38 52 60 63 60 51 37 19 0 -20 -38 -52 -60 -63 -60 -51 -202
52 60 63 60 51 37 19 0 -20 -38 -52 -60 -63 -60 -51 -37 -5211
60 63 60 51 37 19 0 -20 -38 -52 -60 -63 -60 -51 -37 -19 -9752
63 60 51 37 19 0 -20 -38 -52 -60 -63 -60 -51 -37 -19 0 -13289
60 51 37 19 0 -20 -38 -52 -60 -63 -60 -51 -37 -19 0 20 -15727
51 37 19 0 -20 -38 -52 -60 -63 -60 -51 -37 -19 0 20 38 -16338
37 19 0 -20 -38 -52 -60 -63 -60 -51 -37 -19 0 20 38 52 -15552
19 0 -20 -38 -52 -60 -63 -60 -51 -37 -19 0 20 38 52 60 -13287
0 -20 -38 -52 -60 -63 -60 -51 -37 -19 0 20 38 52 60 63 -9630
-20 -38 -52 -60 -63 -60 -51 -37 -19 0 20 38 52 60 63 60 -4853
-38 -52 -60 -63 -60 -51 -37 -19 0 20 38 52 60 63 60 51 89
-52 -60 -63 -60 -51 -37 -19 0 20 38 52 60 63 60 51 37 5200
-60 -63 -60 -51 -37 -19 0 20 38 52 60 63 60 51 37 19 9678
-63 -60 -51 -37 -19 0 20 38 52 60 63 60 51 37 19 0 13221
-60 -51 -37 -19 0 20 38 52 60 63 60 51 37 19 0 -20 15519
-51 -37 -19 0 20 38 52 60 63 60 51 37 19 0 -20 -38 16348
-37 -19 0 20 38 52 60 63 60 51 37 19 0 -20 -38 -52 15607
